ID;PDS;KRIT_NR;AUSPRAEGUNG;LL_UG_NR;AUSPR2;RTS_TYP1;ANZ_S;ANZ_UG;filter_$
140031350;1666436;1204;E25010;;ETM_NR;;129;129;1
140031351;1666436;1204;E25010;;ETM_NR;1;129;23;1
140031352;1666436;1204;E25010;;ETM_NR;3;129;54;1
140031353;1666436;1204;E25010;;ETM_NR;4;129;52;1
140031354;1666436;1204;E25020;;ETM_NR;;129;129;1
140031355;1666436;1204;E25020;;ETM_NR;0;129;50;1
140031356;1666436;1204;E25020;;ETM_NR;1;129;50;1
140031357;1666436;1204;E25020;;ETM_NR;3;129;17;1
140031358;1666436;1204;E25020;;ETM_NR;4;129;12;1
140031359;1666436;1204;E25030;;ETM_NR;;129;129;1
140031360;1666436;1204;E25030;;ETM_NR;0;129;1;1
140031361;1666436;1204;E25030;;ETM_NR;1;129;1;1
140031362;1666436;1204;E25030;;ETM_NR;3;129;1;1
140031363;1666436;1204;E25030;;ETM_NR;4;129;126;1
140031364;1666436;1204;E25040;;ETM_NR;;129;129;1
140031365;1666436;1204;E25040;;ETM_NR;4;129;129;1
140031366;1666436;1204;E25050;;ETM_NR;;129;129;1
140031367;1666436;1204;E25050;;ETM_NR;1;129;1;1
140031368;1666436;1204;E25050;;ETM_NR;3;129;1;1
140031369;1666436;1204;E25050;;ETM_NR;4;129;127;1
140031370;1666436;1204;E25060;;ETM_NR;;129;129;1
140031371;1666436;1204;E25060;;ETM_NR;0;129;39;1
140031372;1666436;1204;E25060;;ETM_NR;1;129;31;1
140031373;1666436;1204;E25060;;ETM_NR;3;129;18;1
140031374;1666436;1204;E25060;;ETM_NR;4;129;41;1
140031375;1666436;1204;E25070;;ETM_NR;;129;129;1
140031376;1666436;1204;E25070;;ETM_NR;0;129;52;1
140031377;1666436;1204;E25070;;ETM_NR;1;129;29;1
140031378;1666436;1204;E25070;;ETM_NR;3;129;24;1
140031379;1666436;1204;E25070;;ETM_NR;4;129;24;1
140031380;1666436;1204;E25080;;ETM_NR;;129;129;1
140031381;1666436;1204;E25080;;ETM_NR;0;129;116;1
140031382;1666436;1204;E25080;;ETM_NR;3;129;1;1
140031383;1666436;1204;E25080;;ETM_NR;4;129;12;1
140031384;1666436;1204;E25090;;ETM_NR;;129;129;1
140031385;1666436;1204;E25090;;ETM_NR;0;129;103;1
140031386;1666436;1204;E25090;;ETM_NR;1;129;1;1
140031387;1666436;1204;E25090;;ETM_NR;3;129;6;1
140031388;1666436;1204;E25090;;ETM_NR;4;129;19;1
140031389;1666436;1204;E25100;;ETM_NR;;129;129;1
140031390;1666436;1204;E25100;;ETM_NR;0;129;124;1
140031391;1666436;1204;E25100;;ETM_NR;4;129;5;1
140031449;1666437;1204;E25010;;ETM_NR;;43;43;1
140031450;1666437;1204;E25010;;ETM_NR;3;43;3;1
140031451;1666437;1204;E25010;;ETM_NR;4;43;40;1
140031452;1666437;1204;E25020;;ETM_NR;;43;43;1
140031453;1666437;1204;E25020;;ETM_NR;0;43;20;1
140031454;1666437;1204;E25020;;ETM_NR;1;43;13;1
140031455;1666437;1204;E25020;;ETM_NR;3;43;8;1
140031456;1666437;1204;E25020;;ETM_NR;4;43;2;1
140031457;1666437;1204;E25030;;ETM_NR;;43;43;1
140031458;1666437;1204;E25030;;ETM_NR;0;43;5;1
140031459;1666437;1204;E25030;;ETM_NR;1;43;3;1
140031460;1666437;1204;E25030;;ETM_NR;3;43;1;1
140031461;1666437;1204;E25030;;ETM_NR;4;43;34;1
140031462;1666437;1204;E25040;;ETM_NR;;43;43;1
140031463;1666437;1204;E25040;;ETM_NR;4;43;43;1
140031464;1666437;1204;E25050;;ETM_NR;;43;43;1
140031465;1666437;1204;E25050;;ETM_NR;0;43;5;1
140031466;1666437;1204;E25050;;ETM_NR;1;43;18;1
140031467;1666437;1204;E25050;;ETM_NR;3;43;8;1
140031468;1666437;1204;E25050;;ETM_NR;4;43;12;1
140031469;1666437;1204;E25060;;ETM_NR;;43;43;1
140031470;1666437;1204;E25060;;ETM_NR;0;43;5;1
140031471;1666437;1204;E25060;;ETM_NR;1;43;19;1
140031472;1666437;1204;E25060;;ETM_NR;3;43;5;1
140031473;1666437;1204;E25060;;ETM_NR;4;43;14;1
140031474;1666437;1204;E25070;;ETM_NR;;43;43;1
140031475;1666437;1204;E25070;;ETM_NR;0;43;1;1
140031476;1666437;1204;E25070;;ETM_NR;1;43;31;1
140031477;1666437;1204;E25070;;ETM_NR;3;43;11;1
140031478;1666437;1204;E25080;;ETM_NR;;43;43;1
140031479;1666437;1204;E25080;;ETM_NR;0;43;42;1
140031480;1666437;1204;E25080;;ETM_NR;4;43;1;1
140031481;1666437;1204;E25090;;ETM_NR;;43;43;1
140031482;1666437;1204;E25090;;ETM_NR;4;43;43;1
140031483;1666437;1204;E25100;;ETM_NR;;43;43;1
140031484;1666437;1204;E25100;;ETM_NR;4;43;43;1
140031534;1666438;1204;E25010;;ETM_NR;;38;38;1
140031535;1666438;1204;E25010;;ETM_NR;0;38;1;1
140031536;1666438;1204;E25010;;ETM_NR;3;38;6;1
140031537;1666438;1204;E25010;;ETM_NR;4;38;31;1
140031538;1666438;1204;E25020;;ETM_NR;;38;38;1
140031539;1666438;1204;E25020;;ETM_NR;0;38;32;1
140031540;1666438;1204;E25020;;ETM_NR;1;38;1;1
140031541;1666438;1204;E25020;;ETM_NR;4;38;5;1
140031542;1666438;1204;E25030;;ETM_NR;;38;38;1
140031543;1666438;1204;E25030;;ETM_NR;0;38;1;1
140031544;1666438;1204;E25030;;ETM_NR;1;38;8;1
140031545;1666438;1204;E25030;;ETM_NR;3;38;12;1
140031546;1666438;1204;E25030;;ETM_NR;4;38;17;1
140031547;1666438;1204;E25040;;ETM_NR;;38;38;1
140031548;1666438;1204;E25040;;ETM_NR;1;38;1;1
140031549;1666438;1204;E25040;;ETM_NR;3;38;3;1
140031550;1666438;1204;E25040;;ETM_NR;4;38;34;1
140031551;1666438;1204;E25050;;ETM_NR;;38;38;1
140031552;1666438;1204;E25050;;ETM_NR;1;38;2;1
140031553;1666438;1204;E25050;;ETM_NR;3;38;4;1
140031554;1666438;1204;E25050;;ETM_NR;4;38;32;1
140031555;1666438;1204;E25060;;ETM_NR;;38;38;1
140031556;1666438;1204;E25060;;ETM_NR;0;38;23;1
140031557;1666438;1204;E25060;;ETM_NR;1;38;2;1
140031558;1666438;1204;E25060;;ETM_NR;4;38;13;1
140031559;1666438;1204;E25070;;ETM_NR;;38;38;1
140031560;1666438;1204;E25070;;ETM_NR;0;38;12;1
140031561;1666438;1204;E25070;;ETM_NR;3;38;2;1
140031562;1666438;1204;E25070;;ETM_NR;4;38;24;1
140031563;1666438;1204;E25080;;ETM_NR;;38;38;1
140031564;1666438;1204;E25080;;ETM_NR;0;38;38;1
140031565;1666438;1204;E25090;;ETM_NR;;38;38;1
140031566;1666438;1204;E25090;;ETM_NR;0;38;2;1
140031567;1666438;1204;E25090;;ETM_NR;1;38;1;1
140031568;1666438;1204;E25090;;ETM_NR;3;38;12;1
140031569;1666438;1204;E25090;;ETM_NR;4;38;23;1
140031570;1666438;1204;E25100;;ETM_NR;;38;38;1
140031571;1666438;1204;E25100;;ETM_NR;0;38;38;1
